State,County,FIPS_code,count,avg_site_score,sum_site_score
CA,Santa Clara,6085.0,23.0,34.124347826086954,784.86
CA,Los Angeles,6037.0,17.0,41.48823529411764,705.3
MA,Middlesex,25017.0,13.0,53.22615384615385,691.94
PA,Montgomery,42091.0,16.0,42.944375,687.11
NJ,Middlesex,34023.0,14.0,47.424285714285716,663.94
NY,Nassau,36059.0,14.0,43.13142857142857,603.84
TX,Harris,48201.0,12.0,48.199999999999996,578.4
WA,King,53033.0,10.0,49.711,497.11
NJ,Camden,34007.0,10.0,48.489,484.89
FL,Hillsborough,12057.0,10.0,46.798,467.98
NJ,Monmouth,34025.0,10.0,46.065999999999995,460.65999999999997
PA,Berks,42011.0,11.0,40.46909090909091,445.16
NJ,Gloucester,34015.0,8.0,55.23,441.84
NY,Suffolk,36103.0,10.0,42.797000000000004,427.97
NJ,Burlington,34005.0,11.0,38.36272727272728,421.99
PA,Bucks,42017.0,9.0,43.27111111111111,389.44
NJ,Morris,34027.0,9.0,42.68111111111111,384.13
PA,Chester,42029.0,10.0,38.227,382.27
NH,Rockingham,33015.0,8.0,47.26625,378.13
NJ,Bergen,34003.0,8.0,46.06625,368.53
DE,New Castle,10003.0,9.0,39.79222222222222,358.13
NJ,Essex,34013.0,8.0,44.7475,357.98
WA,Kitsap,53035.0,8.0,44.06,352.48
WA,Spokane,53063.0,9.0,38.27666666666667,344.49
MI,Muskegon,26121.0,8.0,42.745,341.96
RI,Providence,44007.0,7.0,48.53857142857142,339.77
MI,Kent,26081.0,8.0,39.0,312.0
IN,Lake,18089.0,8.0,38.5525,308.42
TN,Shelby,47157.0,6.0,49.333333333333336,296.0
FL,Duval,12031.0,6.0,46.71666666666666,280.29999999999995
IN,Elkhart,18039.0,6.0,44.595,267.57
MA,Bristol,25005.0,6.0,44.413333333333334,266.48
NJ,Ocean,34029.0,5.0,52.036,260.18
MO,Washington,29221.0,4.0,63.405,253.62
OH,Montgomery,39113.0,6.0,41.96666666666667,251.8
FL,Miami-Dade,12086.0,6.0,41.89666666666667,251.38
NJ,Somerset,34035.0,6.0,40.93333333333333,245.6
NJ,Atlantic,34001.0,6.0,40.846666666666664,245.07999999999998
WA,Pierce,53053.0,6.0,40.27166666666667,241.63
UT,Salt Lake,49035.0,5.0,44.948,224.74
CA,Fresno,6019.0,5.0,44.87,224.35
IL,Winnebago,17201.0,5.0,43.644,218.22
NY,Dutchess,36027.0,5.0,43.364,216.82
FL,Broward,12011.0,5.0,43.272000000000006,216.36
OH,Miami,39109.0,4.0,53.9975,215.99
MN,Anoka,27003.0,5.0,42.629999999999995,213.14999999999998
VT,Bennington,50003.0,4.0,52.49,209.96
AZ,Maricopa,4013.0,5.0,41.94,209.7
MA,Norfolk,25021.0,4.0,52.065,208.26
NJ,Cumberland,34011.0,4.0,51.47,205.88
UT,Davis,49011.0,4.0,49.985,199.94
CA,San Bernardino,6071.0,5.0,39.354,196.76999999999998
FL,Escambia,12033.0,4.0,48.9475,195.79
MI,Macomb,26099.0,4.0,48.730000000000004,194.92000000000002
NH,Strafford,33017.0,4.0,48.4075,193.63
IL,Lake,17097.0,5.0,37.606,188.03
NH,Hillsborough,33011.0,5.0,37.410000000000004,187.05
WA,Clark,53011.0,4.0,46.6075,186.43
CA,Sacramento,6067.0,4.0,46.480000000000004,185.92000000000002
CA,San Joaquin,6077.0,4.0,46.46,185.84
MI,Kalamazoo,26077.0,5.0,37.042,185.21
MA,Essex,25009.0,4.0,45.4,181.6
WA,Benton,53005.0,3.0,60.22,180.66
CT,New Haven,9009.0,4.0,44.905,179.62
NY,Broome,36007.0,5.0,35.714,178.57
NC,Gaston,37071.0,4.0,43.875,175.5
MD,Cecil,24015.0,4.0,43.6625,174.65
VA,Portsmouth city,51740.0,4.0,43.0475,172.19
WI,Dane,55025.0,5.0,34.402,172.01
WI,Waukesha,55133.0,4.0,42.7475,170.99
HI,Honolulu,15003.0,3.0,56.94,170.82
OR,Multnomah,41051.0,3.0,56.90333333333333,170.70999999999998
PA,Adams,42001.0,4.0,41.1325,164.53
UT,Tooele,49045.0,3.0,54.376666666666665,163.13
MN,Ramsey,27123.0,3.0,54.18,162.54
SC,Beaufort,45013.0,3.0,51.86666666666667,155.6
ME,Cumberland,23005.0,3.0,51.449999999999996,154.35
MT,Cascade,30013.0,3.0,51.419999999999995,154.26
MN,Hennepin,27053.0,4.0,38.415,153.66
NJ,Hudson,34017.0,4.0,38.04,152.16
NE,Hall,31079.0,3.0,50.376666666666665,151.13
MD,Prince George's,24033.0,3.0,50.050000000000004,150.15
MO,Newton,29145.0,3.0,50.0,150.0
VT,Orange,50017.0,3.0,50.0,150.0
PA,Mercer,42085.0,3.0,48.64333333333334,145.93
PA,Allegheny,42003.0,3.0,47.95333333333334,143.86
OH,Ashtabula,39007.0,4.0,35.715,142.86
PA,Lehigh,42077.0,3.0,47.51333333333333,142.54
CA,Alameda,6001.0,3.0,47.413333333333334,142.24
NE,Adams,31001.0,3.0,47.413333333333334,142.24
IL,LaSalle,17099.0,3.0,47.35333333333333,142.06
NC,Wake,37183.0,3.0,46.75,140.25
PA,Delaware,42045.0,3.0,46.11333333333334,138.34
PA,Luzerne,42079.0,3.0,45.53,136.59
NC,Moore,37125.0,3.0,45.24,135.72
GA,Glynn,13127.0,3.0,45.19,135.57
TX,Ector,48135.0,3.0,45.15,135.45
NM,Cibola,35006.0,3.0,44.73666666666667,134.21
IN,Marion,18097.0,3.0,44.67666666666667,134.03
FL,Orange,12095.0,3.0,44.63666666666666,133.91
NY,Ulster,36111.0,3.0,44.629999999999995,133.89
MO,St. Louis,29189.0,4.0,33.057500000000005,132.23000000000002
CO,Denver,8031.0,3.0,44.01333333333333,132.04
NY,Niagara,36063.0,3.0,43.373333333333335,130.12
IN,St. Joseph,18141.0,3.0,42.949999999999996,128.85
MO,Greene,29077.0,3.0,42.843333333333334,128.53
NM,Bernalillo,35001.0,3.0,42.833333333333336,128.5
NJ,Sussex,34037.0,3.0,42.62,127.86
OH,Greene,39057.0,2.0,63.59,127.18
MD,Harford,24025.0,3.0,41.65333333333333,124.96
CA,Stanislaus,6099.0,3.0,41.61666666666667,124.85
IA,Polk,19153.0,3.0,41.24333333333333,123.73
NY,Cattaraugus,36009.0,3.0,40.98666666666667,122.96000000000001
RI,Washington,44009.0,3.0,40.876666666666665,122.63
MI,Ingham,26065.0,3.0,40.26333333333333,120.78999999999999
ME,Penobscot,23019.0,2.0,60.355,120.71
NJ,Hunterdon,34019.0,3.0,39.85,119.55
SC,Lexington,45063.0,3.0,39.02,117.06
CT,Windham,9015.0,3.0,38.906666666666666,116.72
WI,Rock,55105.0,2.0,57.915,115.83
GA,Dougherty,13095.0,3.0,38.553333333333335,115.66
SC,Greenville,45045.0,3.0,38.46,115.38
MI,Calhoun,26025.0,3.0,38.02333333333333,114.07
IL,DuPage,17043.0,3.0,37.589999999999996,112.77
NY,Delaware,36025.0,3.0,37.586666666666666,112.75999999999999
WI,Sheboygan,55117.0,3.0,37.31666666666666,111.94999999999999
MT,Lewis and Clark,30049.0,2.0,55.825,111.65
AL,Madison,1089.0,2.0,55.71,111.42
IN,LaPorte,18091.0,2.0,55.48,110.96
CA,Riverside,6065.0,3.0,36.98,110.94
MI,Gratiot,26057.0,3.0,36.776666666666664,110.33
PA,York,42133.0,3.0,36.29,108.87
IL,Madison,17119.0,3.0,36.13666666666666,108.41
VA,Suffolk city,51800.0,2.0,53.795,107.59
MO,Jefferson,29099.0,2.0,53.745,107.49
CO,Jefferson,8059.0,2.0,53.625,107.25
NC,Buncombe,37021.0,3.0,35.74333333333333,107.23
IL,Will,17197.0,3.0,35.583333333333336,106.75
ID,Caribou,16029.0,2.0,53.34,106.68
PR,Arecibo Municipio,72013.0,2.0,53.33,106.66
WV,Marion,54049.0,2.0,52.825,105.65
IL,Boone,17007.0,2.0,52.745,105.49
IN,Monroe,18105.0,3.0,34.93,104.78999999999999
WA,Lewis,53041.0,3.0,34.81666666666666,104.44999999999999
CA,Ventura,6111.0,2.0,52.16,104.32
TX,Bowie,48037.0,3.0,34.449999999999996,103.35
NC,Haywood,37087.0,2.0,51.19,102.38
MI,Berrien,26021.0,3.0,33.71,101.13
AR,Union,5139.0,2.0,50.015,100.03
FL,Seminole,12117.0,2.0,50.0,100.0
GA,Richmond,13245.0,2.0,50.0,100.0
MO,Franklin,29071.0,2.0,50.0,100.0
NM,Chaves,35005.0,2.0,50.0,100.0
NY,Kings,36047.0,2.0,50.0,100.0
NY,Rensselaer,36083.0,2.0,50.0,100.0
OR,Lane,41039.0,2.0,50.0,100.0
SC,Charleston,45019.0,2.0,50.0,100.0
TX,Midland,48329.0,2.0,50.0,100.0
VA,Newport News city,51700.0,2.0,50.0,100.0
GA,Bibb,13021.0,2.0,49.485,98.97
LA,Jefferson Davis Parish,22053.0,2.0,49.1,98.2
TX,Jasper,48241.0,2.0,49.0,98.0
NY,Oswego,36075.0,3.0,32.63,97.89
KS,Johnson,20091.0,2.0,48.730000000000004,97.46000000000001
PA,Clinton,42035.0,2.0,48.635000000000005,97.27000000000001
NJ,Union,34039.0,2.0,48.565,97.13
NY,Jefferson,36045.0,2.0,48.515,97.03
MO,Clay,29047.0,2.0,48.405,96.81
MT,Silver Bow,30093.0,2.0,48.394999999999996,96.78999999999999
VA,York,51199.0,2.0,48.230000000000004,96.46000000000001
FL,Martin,12085.0,2.0,47.96,95.92
AK,Anchorage Municipality,2020.0,2.0,47.955,95.91
PA,Northampton,42095.0,2.0,47.19,94.38
OH,Lawrence,39087.0,2.0,46.69,93.38
NE,York,31185.0,2.0,46.665,93.33
CO,Adams,8001.0,2.0,46.64,93.28
AL,Washington,1129.0,2.0,46.565,93.13
OH,Hamilton,39061.0,2.0,46.405,92.81
IN,Boone,18011.0,2.0,46.239999999999995,92.47999999999999
MI,Wexford,26165.0,2.0,45.935,91.87
MN,Washington,27163.0,2.0,45.665,91.33
NE,Madison,31119.0,2.0,45.4,90.8
AK,Fairbanks North Star Borough,2090.0,2.0,45.269999999999996,90.53999999999999
TX,Tarrant,48439.0,2.0,44.96,89.92
PA,Carbon,42025.0,2.0,44.754999999999995,89.50999999999999
MI,Ionia,26067.0,2.0,44.65,89.3
OH,Stark,39151.0,2.0,44.605000000000004,89.21000000000001
MO,St. Charles,29183.0,2.0,44.43,88.86
TX,Bexar,48029.0,2.0,44.425,88.85
CA,Contra Costa,6013.0,2.0,44.245000000000005,88.49000000000001
PA,Erie,42049.0,2.0,44.1,88.2
SC,York,45091.0,2.0,43.695,87.39
NY,Genesee,36037.0,2.0,43.635000000000005,87.27000000000001
MA,Worcester,25027.0,2.0,43.519999999999996,87.03999999999999
NC,Granville,37077.0,2.0,43.515,87.03
CA,Kern,6029.0,2.0,43.489999999999995,86.97999999999999
NY,Chemung,36015.0,2.0,43.16,86.32
TX,Montgomery,48339.0,2.0,42.644999999999996,85.28999999999999
CA,Siskiyou,6093.0,2.0,42.53,85.06
CA,Yolo,6113.0,2.0,42.519999999999996,85.03999999999999
MO,St. Francois,29187.0,1.0,84.91,84.91
PA,Philadelphia,42101.0,2.0,41.715,83.43
NY,Orleans,36073.0,2.0,41.45,82.9
IN,Howard,18067.0,2.0,40.925,81.85
KY,Fleming,21069.0,2.0,40.855000000000004,81.71000000000001
SC,Spartanburg,45083.0,2.0,40.725,81.45
MI,Oakland,26125.0,2.0,40.595,81.19
VA,Chesterfield,51041.0,2.0,40.144999999999996,80.28999999999999
CA,Monterey,6053.0,2.0,40.085,80.17
NC,New Hanover,37129.0,2.0,40.085,80.17
MD,Baltimore city,24510.0,2.0,40.075,80.15
IL,Montgomery,17135.0,2.0,40.0,80.0
TX,Liberty,48291.0,2.0,39.97,79.94
WI,Dodge,55027.0,2.0,39.885,79.77
PA,Lancaster,42071.0,2.0,39.88,79.76
FL,Volusia,12127.0,2.0,39.83,79.66
ME,York,23031.0,2.0,39.745,79.49
CA,Orange,6059.0,2.0,39.6,79.2
NC,Brunswick,37019.0,2.0,39.57,79.14
AL,Mobile,1097.0,2.0,39.55500000000001,79.11000000000001
CO,Boulder,8013.0,2.0,39.53,79.06
TX,Galveston,48167.0,2.0,39.25,78.5
LA,St. Tammany Parish,22103.0,2.0,38.894999999999996,77.78999999999999
VT,Chittenden,50007.0,2.0,38.489999999999995,76.97999999999999
NE,Platte,31141.0,2.0,38.405,76.81
WI,Monroe,55081.0,2.0,38.269999999999996,76.53999999999999
MN,St. Louis,27137.0,2.0,37.915,75.83
NM,McKinley,35031.0,2.0,37.3,74.6
DE,Sussex,10005.0,2.0,37.05,74.1
NY,Orange,36071.0,2.0,36.805,73.61
DE,Kent,10001.0,2.0,36.75,73.5
WI,Marathon,55073.0,2.0,36.575,73.15
CT,New London,9011.0,2.0,36.53,73.06
AR,Yell,5149.0,2.0,36.35,72.7
IL,Cook,17031.0,2.0,36.165,72.33
OR,Yamhill,41071.0,1.0,71.78,71.78
PA,Franklin,42055.0,2.0,35.86,71.72
IL,Bureau,17011.0,1.0,70.71,70.71
NC,Craven,37049.0,1.0,70.71,70.71
NC,Henderson,37089.0,1.0,70.71,70.71
PA,Columbia,42037.0,1.0,70.71,70.71
NY,St. Lawrence,36089.0,2.0,35.035,70.07
PA,Monroe,42089.0,2.0,34.965,69.93
WA,Whatcom,53073.0,1.0,69.34,69.34
IA,Cerro Gordo,19033.0,1.0,69.33,69.33
NY,Saratoga,36091.0,2.0,34.55,69.1
WI,Manitowoc,55071.0,2.0,34.325,68.65
CT,Fairfield,9001.0,2.0,34.21,68.42
MT,Flathead,30029.0,1.0,68.39,68.39
SC,Barnwell,45011.0,1.0,68.26,68.26
NC,Iredell,37097.0,2.0,33.980000000000004,67.96000000000001
NC,Cumberland,37051.0,2.0,33.925,67.85
KY,Bullitt,21029.0,2.0,33.254999999999995,66.50999999999999
KY,Marshall,21157.0,2.0,33.15,66.3
MT,Lincoln,30053.0,2.0,33.085,66.17
AR,Pulaski,5119.0,1.0,65.46,65.46
SC,Richland,45079.0,2.0,32.22,64.44
VA,Henrico,51087.0,2.0,32.025,64.05
MO,Jackson,29095.0,2.0,31.735,63.47
MI,Livingston,26093.0,2.0,31.405,62.81
NC,Onslow,37133.0,2.0,31.12,62.24
MS,Winston,28159.0,1.0,62.2,62.2
MT,Jefferson,30043.0,1.0,61.15,61.15
OH,Butler,39017.0,2.0,29.365000000000002,58.730000000000004
MT,Deer Lodge,30023.0,1.0,58.71,58.71
MO,Madison,29123.0,1.0,58.41,58.41
CA,Amador,6005.0,1.0,58.31,58.31
NY,Washington,36115.0,1.0,58.21,58.21
KS,Cherokee,20021.0,1.0,58.15,58.15
OK,Ottawa,40115.0,1.0,58.15,58.15
TN,Gibson,47053.0,1.0,58.15,58.15
AZ,Pima,4019.0,1.0,57.8,57.8
ID,Bannock,16005.0,1.0,57.8,57.8
ID,Elmore,16039.0,1.0,57.8,57.8
KY,McCracken,21145.0,1.0,56.95,56.95
IL,Lawrence,17101.0,1.0,56.67,56.67
MO,Iron,29093.0,1.0,56.67,56.67
CA,Shasta,6089.0,1.0,56.16,56.16
CO,Lake,8065.0,1.0,55.84,55.84
AL,Henry,1067.0,1.0,55.61,55.61
ID,Shoshone,16079.0,1.0,54.76,54.76
OR,Linn,41043.0,1.0,54.27,54.27
WV,Marshall,54051.0,1.0,53.98,53.98
NY,Allegany,36003.0,1.0,53.9,53.9
VA,Albemarle,51003.0,1.0,53.17,53.17
NJ,Salem,34033.0,1.0,52.96,52.96
MN,Cass,27021.0,1.0,52.88,52.88
KY,McLean,21149.0,1.0,52.73,52.73
AZ,Yavapai,4025.0,1.0,52.69,52.69
NJ,Passaic,34031.0,1.0,52.58,52.58
MS,Lowndes,28087.0,1.0,52.47,52.47
VT,Caledonia,50005.0,1.0,52.29,52.29
OH,Portage,39133.0,1.0,52.28,52.28
MI,Allegan,26005.0,1.0,52.15,52.15
IA,Clinton,19045.0,1.0,52.11,52.11
MI,Mason,26105.0,1.0,51.97,51.97
AL,Calhoun,1015.0,1.0,51.91,51.91
ID,Bonneville,16019.0,1.0,51.91,51.91
MI,Manistee,26101.0,1.0,51.91,51.91
GA,Houston,13153.0,1.0,51.66,51.66
